,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,Members scored,F10
1059,Fruits Basket,1060.0,325,7.69,26.0,TV,https://myanimelist.net/anime/120/Fruits_Basket,Summer 2001 ,Fruits Basket,フルーツバスケット,Furuba,Finished Airing ,"Jul 5, 2001 to Dec 27, 2001 ",Thursdays at 18:00 (JST) ,"TV Tokyo, Nihon Ad Systems, King Records ",Funimation ,Studio Deen ,Manga ,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",24 min. per ep. ,PG-13 - Teens 13 or older ,7786,449166,17158,311561,13581,17698,89168,33021.0,42026.0,61752.0,59391.0,26804.0,13072.0,4482.0,1607.0,844.0,763.0,243762.0,0.024990290825873587
243,Sennen Joyuu,244.0,1177,8.27,1.0,Movie,https://myanimelist.net/anime/1033/Sennen_Joyuu,,Millennium Actress,千年女優,Chiyoko Millennial Actress,Finished Airing ,"Sep 14, 2002 ",,"Bandai Visual, WOWOW, Genco, Kadokawa Shoten, KlockWorx ","Eleven Arts, DreamWorks ",Madhouse ,Original ,"Action, Adventure, Drama, Fantasy, Historical, Romance",1 hr. 26 min. ,PG-13 - Teens 13 or older ,1899,134740,2651,76041,1202,509,54337,11966.0,16643.0,18434.0,9476.0,3376.0,1222.0,459.0,148.0,75.0,187.0,61986.0,0.02497336962954196
1021,Pandora Hearts,1022.0,395,7.7,25.0,TV,https://myanimelist.net/anime/5530/Pandora_Hearts,Spring 2009 ,PandoraHearts,パンドラハーツ,Pandora Hearts,Finished Airing ,"Apr 3, 2009 to Sep 25, 2009 ",Fridays at 01:29 (JST) ,"Square Enix, TBS, flying DOG ","NIS America, Inc. ",Xebec ,Manga ,"Adventure, Fantasy, Mystery, Shounen, Supernatural",24 min. per ep. ,PG-13 - Teens 13 or older ,4787,372480,21600,191833,19240,17964,121843,19126.0,26886.0,42804.0,37936.0,17259.0,7963.0,3094.0,1022.0,496.0,390.0,156976.0,0.024953996444824406
1019,Pandora Hearts,1020.0,396,7.7,25.0,TV,https://myanimelist.net/anime/5530/Pandora_Hearts,Spring 2009 ,PandoraHearts,パンドラハーツ,Pandora Hearts,Finished Airing ,"Apr 3, 2009 to Sep 25, 2009 ",Fridays at 01:29 (JST) ,"Square Enix, TBS, flying DOG ","NIS America, Inc. ",Xebec ,Manga ,"Adventure, Fantasy, Mystery, Shounen, Supernatural",24 min. per ep. ,PG-13 - Teens 13 or older ,4784,372251,21594,191751,19231,17954,121721,19122.0,26882.0,42787.0,37915.0,17246.0,7959.0,3093.0,1021.0,496.0,390.0,156911.0,0.02494902243013074
492,Boku no Hero Academia,493.0,6,8.04,13.0,TV,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,Spring 2016 ,My Hero Academia,僕のヒーローアカデミア,,Finished Airing ,"Apr 3, 2016 to Jun 26, 2016 ",Sundays at 17:00 (JST) ,"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha ",Funimation ,Bones ,Manga ,"Action, Comedy, School, Shounen, Super Power",24 min. per ep. ,PG-13 - Teens 13 or older ,46728,2160782,100447,1877855,20517,22637,139326,208587.0,344718.0,471334.0,305515.0,96372.0,36890.0,10986.0,4407.0,2208.0,3858.0,1484875.0,0.024883710403625414
358,Fullmetal Alchemist,359.0,56,8.15,51.0,TV,https://myanimelist.net/anime/121/Fullmetal_Alchemist,Fall 2003 ,Fullmetal Alchemist,鋼の錬金術師,"Hagane no Renkinjutsushi, FMA, Full Metal Alchemist",Finished Airing ,"Oct 4, 2003 to Oct 2, 2004 ",Saturdays at 18:00 (JST) ,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System ","Funimation, Aniplex of America ",Bones ,Manga ,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",24 min. per ep. ,PG-13 - Teens 13 or older ,22934,1217581,56306,925079,44073,41416,150707,128636.0,184101.0,223162.0,143044.0,47733.0,17451.0,6327.0,1909.0,1045.0,1293.0,754701.0,0.024791396194270975
846,Ghost Hunt,847.0,809,7.79,25.0,TV,https://myanimelist.net/anime/1571/Ghost_Hunt,Fall 2006 ,Ghost Hunt,ゴーストハント,,Finished Airing ,"Oct 4, 2006 to Mar 28, 2007 ",,"TV Tokyo, Avex Entertainment, Marvelous, Delfi Sound ",Funimation ,J.C.Staff ,Light novel ,"Mystery, Comedy, Horror, Supernatural, Shoujo",25 min. per ep. ,PG-13 - Teens 13 or older ,2722,200039,8337,109831,7247,7155,67469,11508.0,16881.0,25480.0,20906.0,8889.0,4217.0,1426.0,523.0,208.0,241.0,90279.0,0.024783531061357906
84,One Punch Man,85.0,5,8.55,12.0,TV,https://myanimelist.net/anime/30276/One_Punch_Man,Fall 2015 ,One Punch Man,ワンパンマン,"One Punch-Man, One-Punch Man, OPM",Finished Airing ,"Oct 5, 2015 to Dec 21, 2015 ",Mondays at 01:05 (JST) ,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications ",VIZ Media ,Madhouse ,Web manga ,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",24 min. per ep. ,R - 17+ (violence & profanity) ,49865,2330306,104283,2020248,33359,29528,142888,383351.0,508091.0,453454.0,195298.0,53514.0,19955.0,6309.0,2504.0,1569.0,2911.0,1626956.0,0.02468261322372303
1249,Junjou Romantica,1250.0,743,7.61,12.0,TV,https://myanimelist.net/anime/3092/Junjou_Romantica,Spring 2008 ,Junjo Romantica,純情ロマンチカ,"Junjyou Romantica, Junjou Romantica: Pure Romance",Finished Airing ,"Apr 11, 2008 to Jun 27, 2008 ",,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !! ",Nozomi Entertainment ,Studio Deen ,Manga ,"Comedy, Drama, Romance, Shounen Ai",24 min. per ep. ,PG-13 - Teens 13 or older ,4168,214253,7643,169626,4157,7816,25011,22892.0,21253.0,26481.0,24947.0,13506.0,7510.0,3773.0,1836.0,1321.0,1361.0,124880.0,0.024571704809404217
1250,Junjou Romantica,1251.0,742,7.61,12.0,TV,https://myanimelist.net/anime/3092/Junjou_Romantica,Spring 2008 ,Junjo Romantica,純情ロマンチカ,"Junjyou Romantica, Junjou Romantica: Pure Romance",Finished Airing ,"Apr 11, 2008 to Jun 27, 2008 ",,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !! ",Nozomi Entertainment ,Studio Deen ,Manga ,"Comedy, Drama, Romance, Shounen Ai",24 min. per ep. ,PG-13 - Teens 13 or older ,4169,214376,7646,169717,4154,7820,25039,22897.0,21261.0,26492.0,24961.0,13518.0,7515.0,3774.0,1834.0,1321.0,1364.0,124937.0,0.024564421949480605
