,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1,F10
1349,Baka to Test to Shoukanjuu,1349.0,239,7.58,13.0,TV,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Winter 2010 ,Baka & Test - Summon the Beasts,バカとテストと召喚獣,"The Idiot, the Tests, and the Summoned Creatures, Baka to Test to Shokanju, BakaTest",Finished Airing ,"Jan 7, 2010 to Apr 1, 2010 ",Thursdays at 02:20 (JST) ,"Lantis, Media Factory, Cospa, T.O Entertainment ",Funimation ,SILVER LINK. ,Light novel ,"Comedy, Romance, School, Super Power",24 min. per ep. ,PG-13 - Teens 13 or older ,5198,547832,19971,389034,15324,21770,101733,29357.0,49560.0,86878.0,77566.0,34991.0,16455.0,6427.0,2500.0,1124.0,870.0,0.013361300040613417
1347,Baka to Test to Shoukanjuu,1348.0,239,7.58,13.0,TV,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu,Winter 2010 ,Baka & Test - Summon the Beasts,バカとテストと召喚獣,"The Idiot, the Tests, and the Summoned Creatures, Baka to Test to Shokanju, BakaTest",Finished Airing ,"Jan 7, 2010 to Apr 1, 2010 ",Thursdays at 02:20 (JST) ,"Lantis, Media Factory, Cospa, T.O Entertainment ",Funimation ,SILVER LINK. ,Light novel ,"Comedy, Romance, School, Super Power",24 min. per ep. ,PG-13 - Teens 13 or older ,5200,548133,19980,389224,15329,21788,101812,29364.0,49572.0,86908.0,77615.0,35019.0,16467.0,6434.0,2503.0,1127.0,872.0,0.01335991614083407
196,Fate/stay night: Unlimited Blade Works 2nd Season,197.0,174,8.33,13.0,TV,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season,Spring 2015 ,Fate/stay night [Unlimited Blade Works] Season 2,Fate/stay night [Unlimited Blade Works] 2nd シーズン,"Fate/stay night (2015), Fate - Stay Night",Finished Airing ,"Apr 5, 2015 to Jun 28, 2015 ",Sundays at 00:00 (JST) ,"Aniplex, Notes ",Aniplex of America ,ufotable ,Visual novel ,"Action, Fantasy, Magic, Supernatural",23 min. per ep. ,R - 17+ (violence & profanity) ,7244,652756,18154,545930,5490,3682,79500,76557.0,129376.0,132715.0,58900.0,18231.0,6914.0,3302.0,1431.0,648.0,696.0,0.01326910043412159
2799,Date A Live,2802.0,130,7.2,12.0,TV,https://myanimelist.net/anime/15583/Date_A_Live,Spring 2013 ,Date A Live,デート・ア・ライブ,,Finished Airing ,"Apr 6, 2013 to Jun 22, 2013 ",Saturdays at 01:30 (JST) ,"Kadokawa Shoten, AT-X, Nippon Columbia, Fujimi Shobo ",Funimation ,AIC PLUS+ ,Light novel ,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",25 min. per ep. ,R - 17+ (violence & profanity) ,7592,779422,29008,579309,13818,23427,133860,45447.0,51086.0,101432.0,123419.0,66239.0,33981.0,15092.0,6602.0,3196.0,2228.0,0.01310526851818287
2801,Date A Live,2802.0,130,7.2,12.0,TV,https://myanimelist.net/anime/15583/Date_A_Live,Spring 2013 ,Date A Live,デート・ア・ライブ,,Finished Airing ,"Apr 6, 2013 to Jun 22, 2013 ",Saturdays at 01:30 (JST) ,"Kadokawa Shoten, AT-X, Nippon Columbia, Fujimi Shobo ",Funimation ,AIC PLUS+ ,Light novel ,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",25 min. per ep. ,R - 17+ (violence & profanity) ,7592,779422,29008,579309,13818,23427,133860,45447.0,51086.0,101432.0,123419.0,66239.0,33981.0,15092.0,6602.0,3196.0,2228.0,0.01310526851818287
1578,Rakudai Kishi no Cavalry,1581.0,155,7.5,12.0,TV,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,Fall 2015 ,Chivalry of a Failed Knight,落第騎士の英雄譚《キャバルリィ》,"A Chivalry of the Failed Knight, Rakudai Kishi no Eiyuutan, A Tale of Worst One",Finished Airing ,"Oct 3, 2015 to Dec 19, 2015 ",Saturdays at 23:00 (JST) ,"Frontier Works, Media Factory, AT-X, flying DOG, Hakuhodo DY Music & Pictures, Animatic, SB Creative ",Sentai Filmworks ,"SILVER LINK., Nexus ",Light novel ,"Action, Romance, Ecchi, Fantasy, School",23 min. per ep. ,R - 17+ (violence & profanity) ,6883,697534,30216,539167,9829,15916,102406,42246.0,59540.0,113075.0,109663.0,50604.0,23662.0,9168.0,3747.0,1676.0,1234.0,0.012765989016390098
2541,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,2542.0,142,7.26,13.0,TV,https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation,Summer 2013 ,Danganronpa: The Animation,ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION,Dangan Ronpa: The Animation,Finished Airing ,"Jul 5, 2013 to Sep 27, 2013 ",Fridays at 01:35 (JST) ,"Geneon Universal Entertainment, Studio Hibari, Mainichi Broadcasting System, Showgate ",Funimation ,Lerche ,Game ,"Mystery, Horror, Psychological, School",24 min. per ep. ,R - 17+ (violence & profanity) ,6906,739163,27294,552543,12893,20236,126197,36567.0,56594.0,104627.0,117371.0,61681.0,30252.0,13916.0,5749.0,2674.0,1834.0,0.012498574771556241
1393,Ao no Exorcist,1395.0,29,7.56,25.0,TV,https://myanimelist.net/anime/9919/Ao_no_Exorcist,Spring 2011 ,Blue Exorcist,青の祓魔師(エクソシスト),Ao no Futsumashi,Finished Airing ,"Apr 17, 2011 to Oct 2, 2011 ",Sundays at 17:00 (JST) ,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Sakura Create, Shueisha ",Aniplex of America ,A-1 Pictures ,Manga ,"Action, Demons, Fantasy, Shounen, Supernatural",24 min. per ep. ,PG-13 - Teens 13 or older ,14553,1515670,64157,1178390,38638,42053,192432,83329.0,142578.0,263595.0,260189.0,108626.0,44499.0,14751.0,4947.0,1955.0,1577.0,0.012349901136296132
2258,Fate/stay night,2259.0,133,7.32,24.0,TV,https://myanimelist.net/anime/356/Fate_stay_night,Winter 2006 ,Fate/stay night,Fate/stay night,Fate - Stay Night,Finished Airing ,"Jan 7, 2006 to Jun 17, 2006 ",Saturdays at 01:30 (JST) ,"Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes ","Sentai Filmworks, Geneon Entertainment USA ",Studio Deen ,Visual novel ,"Action, Supernatural, Magic, Romance, Fantasy",24 min. per ep. ,R - 17+ (violence & profanity) ,6349,773575,31855,537360,21029,24967,158364,36705.0,59435.0,106236.0,114540.0,59090.0,27873.0,13952.0,5389.0,2522.0,1838.0,0.011815170463004317
549,Kotonoha no Niwa,550.0,185,8.0,1.0,Movie,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa,,The Garden of Words,言の葉の庭,"Koto no Ha no Niwa, The Garden of Kotonoha",Finished Airing ,"May 31, 2013 ",,"The Answer Studio, TOHO animation ",Sentai Filmworks ,CoMix Wave Films ,Original ,"Slice of Life, Psychological, Drama, Romance",46 min. ,PG-13 - Teens 13 or older ,5525,633226,11336,476629,3192,1046,141023,53974.0,88603.0,118449.0,76343.0,28130.0,10990.0,3919.0,1421.0,634.0,739.0,0.011591825088276206
